                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1e-05,                0.99795,                      1,                0.29994,               0.006733,               0.006733,               0.006733
                     68,                  4e-05,                0.99795,                      1,                0.29997,              0.0066835,              0.0066835,              0.0066835
                     69,                  4e-05,                0.99795,                      1,                0.30002,               0.006634,               0.006634,               0.006634
                     70,                  1e-05,                0.99795,                      1,                0.30002,              0.0065845,              0.0065845,              0.0065845
                     71,                  2e-05,                0.99795,                      1,                0.30008,               0.006535,               0.006535,               0.006535
                     72,                  1e-05,                0.99795,                      1,                0.30012,              0.0064855,              0.0064855,              0.0064855
                     73,                  1e-05,                0.99795,                      1,                0.30009,               0.006436,               0.006436,               0.006436
                     74,                  1e-05,                0.99795,                      1,                0.30011,              0.0063865,              0.0063865,              0.0063865
                     75,                  1e-05,                0.99795,                      1,                 0.3001,               0.006337,               0.006337,               0.006337
                     76,                  1e-05,                0.99795,                      1,                0.30008,              0.0062875,              0.0062875,              0.0062875
                     77,                  1e-05,                0.99795,                      1,                0.30011,               0.006238,               0.006238,               0.006238
                     78,                  1e-05,                0.99795,                      1,                0.30005,              0.0061885,              0.0061885,              0.0061885
                     79,                  1e-05,                0.99795,                      1,                0.30001,               0.006139,               0.006139,               0.006139
                     80,                  1e-05,                0.99795,                      1,                0.30002,              0.0060895,              0.0060895,              0.0060895
                     81,                  1e-05,                0.99795,                      1,                    0.3,                0.00604,                0.00604,                0.00604
                     82,                  1e-05,                0.99795,                      1,                0.29998,              0.0059905,              0.0059905,              0.0059905
                     83,                  1e-05,                0.99795,                      1,                0.29999,               0.005941,               0.005941,               0.005941
                     84,                  1e-05,                0.99795,                      1,                0.29998,              0.0058915,              0.0058915,              0.0058915
                     85,                  1e-05,                0.99795,                      1,                0.29998,               0.005842,               0.005842,               0.005842
                     86,                  1e-05,                0.99795,                      1,                0.29999,              0.0057925,              0.0057925,              0.0057925
                     87,                  1e-05,                0.99795,                      1,                0.29998,               0.005743,               0.005743,               0.005743
                     88,                  2e-05,                0.99795,                      1,                0.29998,              0.0056935,              0.0056935,              0.0056935
                     89,                  1e-05,                0.99795,                      1,                0.29997,               0.005644,               0.005644,               0.005644
                     90,                  1e-05,                0.99795,                      1,                0.29996,              0.0055945,              0.0055945,              0.0055945
                     91,                  1e-05,                0.99795,                      1,                0.29997,               0.005545,               0.005545,               0.005545
                     92,                  1e-05,                0.99795,                      1,                0.29997,              0.0054955,              0.0054955,              0.0054955
                     93,                  2e-05,                0.99795,                      1,                0.29997,               0.005446,               0.005446,               0.005446
                     94,                  1e-05,                0.99795,                      1,                0.29996,              0.0053965,              0.0053965,              0.0053965
                     95,                  1e-05,                0.99795,                      1,                0.29997,               0.005347,               0.005347,               0.005347
                     96,                  1e-05,                0.99795,                      1,                0.29997,              0.0052975,              0.0052975,              0.0052975
                     97,                  1e-05,                0.99795,                      1,                0.29996,               0.005248,               0.005248,               0.005248
                     98,                  1e-05,                0.99795,                      1,                0.29997,              0.0051985,              0.0051985,              0.0051985
                     99,                  1e-05,                0.99795,                      1,                0.29997,               0.005149,               0.005149,               0.005149
                    100,                  1e-05,                0.99795,                      1,                0.29997,              0.0050995,              0.0050995,              0.0050995
                    101,                  1e-05,                0.99795,                      1,                0.29996,                0.00505,                0.00505,                0.00505
                    102,                  1e-05,                0.99795,                      1,                0.29996,              0.0050005,              0.0050005,              0.0050005
                    103,                  2e-05,                0.99795,                      1,                0.29993,               0.004951,               0.004951,               0.004951
                    104,                  1e-05,                0.99795,                      1,                0.29993,              0.0049015,              0.0049015,              0.0049015
                    105,                  1e-05,                0.99795,                      1,                0.29993,               0.004852,               0.004852,               0.004852
                    106,                  1e-05,                0.99795,                      1,                0.29993,              0.0048025,              0.0048025,              0.0048025
                    107,                  1e-05,                0.99795,                      1,                0.29993,               0.004753,               0.004753,               0.004753
                    108,                  1e-05,                0.99795,                      1,                0.29993,              0.0047035,              0.0047035,              0.0047035
                    109,                  1e-05,                0.99795,                      1,                0.29993,               0.004654,               0.004654,               0.004654
                    110,                  1e-05,                0.99795,                      1,                0.29993,              0.0046045,              0.0046045,              0.0046045
                    111,                  1e-05,                0.99795,                      1,                0.29993,               0.004555,               0.004555,               0.004555
                    112,                  1e-05,                0.99795,                      1,                0.29994,              0.0045055,              0.0045055,              0.0045055
                    113,                  1e-05,                0.99795,                      1,                0.29994,               0.004456,               0.004456,               0.004456
                    114,                  1e-05,                0.99795,                      1,                0.29994,              0.0044065,              0.0044065,              0.0044065
                    115,                  1e-05,                0.99795,                      1,                0.29994,               0.004357,               0.004357,               0.004357
                    116,                  1e-05,                0.99795,                      1,                0.29994,              0.0043075,              0.0043075,              0.0043075
                    117,                  2e-05,                0.99795,                      1,                0.29994,               0.004258,               0.004258,               0.004258
                    118,                  4e-05,                0.99795,                      1,                0.29994,              0.0042085,              0.0042085,              0.0042085
                    119,                  1e-05,                0.99795,                      1,                0.29994,               0.004159,               0.004159,               0.004159
                    120,                  2e-05,                0.99795,                      1,                0.29994,              0.0041095,              0.0041095,              0.0041095
                    121,                  1e-05,                0.99795,                      1,                0.29994,                0.00406,                0.00406,                0.00406
                    122,                  1e-05,                0.99795,                      1,                0.29994,              0.0040105,              0.0040105,              0.0040105
                    123,                  1e-05,                0.99795,                      1,                0.29994,               0.003961,               0.003961,               0.003961
                    124,                  1e-05,                0.99795,                      1,                0.29994,              0.0039115,              0.0039115,              0.0039115
                    125,                  1e-05,                0.99795,                      1,                0.29994,               0.003862,               0.003862,               0.003862
                    126,                  1e-05,                0.99795,                      1,                0.29994,              0.0038125,              0.0038125,              0.0038125
                    127,                  1e-05,                0.99795,                      1,                0.29994,               0.003763,               0.003763,               0.003763
                    128,                  1e-05,                0.99795,                      1,                0.29994,              0.0037135,              0.0037135,              0.0037135
                    129,                  1e-05,                0.99795,                      1,                0.29994,               0.003664,               0.003664,               0.003664
                    130,                  1e-05,                0.99795,                      1,                0.29994,              0.0036145,              0.0036145,              0.0036145
                    131,                  1e-05,                0.99795,                      1,                0.29994,               0.003565,               0.003565,               0.003565
                    132,                  1e-05,                0.99795,                      1,                0.29994,              0.0035155,              0.0035155,              0.0035155
                    133,                  1e-05,                0.99795,                      1,                0.29994,               0.003466,               0.003466,               0.003466
                    134,                  2e-05,                0.99795,                      1,                0.29994,              0.0034165,              0.0034165,              0.0034165
                    135,                  1e-05,                0.99795,                      1,                0.29994,               0.003367,               0.003367,               0.003367
                    136,                  1e-05,                0.99795,                      1,                0.29993,              0.0033175,              0.0033175,              0.0033175
                    137,                  1e-05,                0.99795,                      1,                0.29993,               0.003268,               0.003268,               0.003268
                    138,                  1e-05,                0.99795,                      1,                0.29993,              0.0032185,              0.0032185,              0.0032185
                    139,                  1e-05,                0.99795,                      1,                0.29993,               0.003169,               0.003169,               0.003169
                    140,                  1e-05,                0.99795,                      1,                0.29993,              0.0031195,              0.0031195,              0.0031195
                    141,                  1e-05,                0.99795,                      1,                0.29993,                0.00307,                0.00307,                0.00307
                    142,                  1e-05,                0.99795,                      1,                0.29993,              0.0030205,              0.0030205,              0.0030205
                    143,                  1e-05,                0.99795,                      1,                0.29993,               0.002971,               0.002971,               0.002971
                    144,                  1e-05,                0.99795,                      1,                0.29993,              0.0029215,              0.0029215,              0.0029215
                    145,                  1e-05,                0.99795,                      1,                0.29993,               0.002872,               0.002872,               0.002872
                    146,                  1e-05,                0.99795,                      1,                0.29993,              0.0028225,              0.0028225,              0.0028225
                    147,                  1e-05,                0.99795,                      1,                0.29993,               0.002773,               0.002773,               0.002773
                    148,                  1e-05,                0.99795,                      1,                0.29993,              0.0027235,              0.0027235,              0.0027235
                    149,                  1e-05,                0.99795,                      1,                0.29993,               0.002674,               0.002674,               0.002674
                    150,                  1e-05,                0.99795,                      1,                0.29993,              0.0026245,              0.0026245,              0.0026245
                    151,                  1e-05,                0.99795,                      1,                0.29993,               0.002575,               0.002575,               0.002575
                    152,                  1e-05,                0.99795,                      1,                0.29993,              0.0025255,              0.0025255,              0.0025255
                    153,                  1e-05,                0.99795,                      1,                0.29993,               0.002476,               0.002476,               0.002476
                    154,                  1e-05,                0.99795,                      1,                0.29993,              0.0024265,              0.0024265,              0.0024265
                    155,                  1e-05,                0.99795,                      1,                0.29993,               0.002377,               0.002377,               0.002377
                    156,                  1e-05,                0.99795,                      1,                0.29993,              0.0023275,              0.0023275,              0.0023275
                    157,                  1e-05,                0.99795,                      1,                0.29993,               0.002278,               0.002278,               0.002278
                    158,                  1e-05,                0.99795,                      1,                0.29993,              0.0022285,              0.0022285,              0.0022285
                    159,                  1e-05,                0.99795,                      1,                0.29993,               0.002179,               0.002179,               0.002179
                    160,                  1e-05,                0.99795,                      1,                0.29993,              0.0021295,              0.0021295,              0.0021295
                    161,                  1e-05,                0.99795,                      1,                0.29993,                0.00208,                0.00208,                0.00208
                    162,                  1e-05,                0.99795,                      1,                0.29993,              0.0020305,              0.0020305,              0.0020305
                    163,                  1e-05,                0.99795,                      1,                0.29993,               0.001981,               0.001981,               0.001981
                    164,                  2e-05,                0.99795,                      1,                0.29993,              0.0019315,              0.0019315,              0.0019315
                    165,                  1e-05,                0.99795,                      1,                0.29993,               0.001882,               0.001882,               0.001882
                    166,                  1e-05,                0.99795,                      1,                0.29993,              0.0018325,              0.0018325,              0.0018325
                    167,                  1e-05,                0.99795,                      1,                0.29993,               0.001783,               0.001783,               0.001783
                    168,                  1e-05,                0.99795,                      1,                0.29993,              0.0017335,              0.0017335,              0.0017335
                    169,                  1e-05,                0.99795,                      1,                0.29993,               0.001684,               0.001684,               0.001684
                    170,                  1e-05,                0.99795,                      1,                0.29993,              0.0016345,              0.0016345,              0.0016345
                    171,                  1e-05,                0.99795,                      1,                0.29993,               0.001585,               0.001585,               0.001585
                    172,                  1e-05,                0.99795,                      1,                0.29993,              0.0015355,              0.0015355,              0.0015355
                    173,                  1e-05,                0.99795,                      1,                0.29993,               0.001486,               0.001486,               0.001486
                    174,                  1e-05,                0.99795,                      1,                0.29993,              0.0014365,              0.0014365,              0.0014365
                    175,                  1e-05,                0.99795,                      1,                0.29993,               0.001387,               0.001387,               0.001387
                    176,                  1e-05,                0.99795,                      1,                0.29993,              0.0013375,              0.0013375,              0.0013375
                    177,                  1e-05,                0.99795,                      1,                0.29993,               0.001288,               0.001288,               0.001288
                    178,                  1e-05,                0.99795,                      1,                0.29993,              0.0012385,              0.0012385,              0.0012385
                    179,                  1e-05,                0.99795,                      1,                0.29993,               0.001189,               0.001189,               0.001189
                    180,                  1e-05,                0.99795,                      1,                0.29993,              0.0011395,              0.0011395,              0.0011395
                    181,                  1e-05,                0.99795,                      1,                0.29993,                0.00109,                0.00109,                0.00109
                    182,                  1e-05,                0.99795,                      1,                0.29993,              0.0010405,              0.0010405,              0.0010405
                    183,                  1e-05,                0.99795,                      1,                0.29993,               0.000991,               0.000991,               0.000991
                    184,                  1e-05,                0.99795,                      1,                0.29993,              0.0009415,              0.0009415,              0.0009415
                    185,                  1e-05,                0.99795,                      1,                0.29993,               0.000892,               0.000892,               0.000892
                    186,                  1e-05,                0.99795,                      1,                0.29993,              0.0008425,              0.0008425,              0.0008425
                    187,                  1e-05,                0.99795,                      1,                0.29993,               0.000793,               0.000793,               0.000793
                    188,                  1e-05,                0.99795,                      1,                0.29993,              0.0007435,              0.0007435,              0.0007435
                    189,                  1e-05,                0.99795,                      1,                0.29993,               0.000694,               0.000694,               0.000694
                    190,                  1e-05,                0.99795,                      1,                0.29993,              0.0006445,              0.0006445,              0.0006445
                    191,                  1e-05,                0.99795,                      1,                0.29993,               0.000595,               0.000595,               0.000595
                    192,                  2e-05,                0.99795,                      1,                0.29993,              0.0005455,              0.0005455,              0.0005455
                    193,                  1e-05,                0.99795,                      1,                0.29993,               0.000496,               0.000496,               0.000496
                    194,                  1e-05,                0.99795,                      1,                0.29993,              0.0004465,              0.0004465,              0.0004465
                    195,                0.00017,                0.99795,                      1,                0.29993,               0.000397,               0.000397,               0.000397
                    196,                  1e-05,                0.99795,                      1,                0.29993,              0.0003475,              0.0003475,              0.0003475
                    197,                  1e-05,                0.99795,                      1,                0.29993,               0.000298,               0.000298,               0.000298
                    198,                  1e-05,                0.99795,                      1,                0.29993,              0.0002485,              0.0002485,              0.0002485
                    199,                  1e-05,                0.99795,                      1,                0.29993,               0.000199,               0.000199,               0.000199
