                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1e-05,                0.99795,                      1,                0.29999,              0.0093565,              0.0093565,              0.0093565
                     67,                  1e-05,                0.99795,                      1,                0.29998,              0.0093466,              0.0093466,              0.0093466
                     68,                  1e-05,                0.99795,                      1,                0.29997,              0.0093367,              0.0093367,              0.0093367
                     69,                  1e-05,                0.99795,                      1,                0.29998,              0.0093268,              0.0093268,              0.0093268
                     70,                  1e-05,                0.99795,                      1,                0.29997,              0.0093169,              0.0093169,              0.0093169
                     71,                  1e-05,                0.99795,                      1,                0.29997,               0.009307,               0.009307,               0.009307
                     72,                  1e-05,                0.99795,                      1,                0.29997,              0.0092971,              0.0092971,              0.0092971
                     73,                  1e-05,                0.99795,                      1,                0.29995,              0.0092872,              0.0092872,              0.0092872
                     74,                0.00177,                0.99795,                      1,                0.30009,              0.0092773,              0.0092773,              0.0092773
                     75,                0.00617,                0.99384,                      1,                0.30279,              0.0092674,              0.0092674,              0.0092674
                     76,                0.00357,                0.99795,                      1,                0.30182,              0.0092575,              0.0092575,              0.0092575
                     77,                0.00147,                0.99795,                      1,                 0.3005,              0.0092476,              0.0092476,              0.0092476
                     78,                0.00316,                0.99795,                      1,                0.30106,              0.0092377,              0.0092377,              0.0092377
                     79,                0.00087,                0.99795,                      1,                0.30004,              0.0092278,              0.0092278,              0.0092278
                     80,                0.00133,                0.99795,                      1,                0.30093,              0.0092179,              0.0092179,              0.0092179
                     81,                0.00176,                0.99795,                      1,                0.30091,               0.009208,               0.009208,               0.009208
                     82,                0.00094,                0.99795,                      1,                0.30002,              0.0091981,              0.0091981,              0.0091981
                     83,                 0.0021,                0.99795,                      1,                0.30091,              0.0091882,              0.0091882,              0.0091882
                     84,                0.00049,                0.99795,                      1,                 0.3005,              0.0091783,              0.0091783,              0.0091783
                     85,                0.00069,                0.99795,                      1,                0.30079,              0.0091684,              0.0091684,              0.0091684
                     86,                0.00026,                0.99384,                      1,                0.30271,              0.0091585,              0.0091585,              0.0091585
                     87,                0.00137,                0.99589,                      1,                0.30234,              0.0091486,              0.0091486,              0.0091486
                     88,                0.00066,                0.99589,                      1,                0.30226,              0.0091387,              0.0091387,              0.0091387
                     89,                0.00207,                0.99795,                      1,                0.30132,              0.0091288,              0.0091288,              0.0091288
                     90,                0.00169,                0.99589,                      1,                0.30182,              0.0091189,              0.0091189,              0.0091189
                     91,                0.00077,                0.99795,                      1,                0.30054,               0.009109,               0.009109,               0.009109
                     92,                0.00046,                0.99795,                      1,                0.30042,              0.0090991,              0.0090991,              0.0090991
                     93,                0.00144,                0.99795,                      1,                0.30057,              0.0090892,              0.0090892,              0.0090892
                     94,                0.00102,                0.99795,                      1,                0.30013,              0.0090793,              0.0090793,              0.0090793
                     95,                0.00045,                0.99795,                      1,                0.30019,              0.0090694,              0.0090694,              0.0090694
                     96,                0.00016,                0.99795,                      1,                0.30016,              0.0090595,              0.0090595,              0.0090595
                     97,                  7e-05,                0.99795,                      1,                0.30056,              0.0090496,              0.0090496,              0.0090496
                     98,                  3e-05,                0.99589,                      1,                0.30079,              0.0090397,              0.0090397,              0.0090397
                     99,                  2e-05,                0.99795,                      1,                0.30057,              0.0090298,              0.0090298,              0.0090298
                    100,                  2e-05,                0.99795,                      1,                0.30027,              0.0090199,              0.0090199,              0.0090199
                    101,                  4e-05,                0.99795,                      1,                0.30037,                0.00901,                0.00901,                0.00901
                    102,                  5e-05,                0.99795,                      1,                0.30052,              0.0090001,              0.0090001,              0.0090001
                    103,                  4e-05,                0.99795,                      1,                0.30047,              0.0089902,              0.0089902,              0.0089902
                    104,                  2e-05,                0.99795,                      1,                0.30025,              0.0089803,              0.0089803,              0.0089803
                    105,                  7e-05,                0.99795,                      1,                0.30018,              0.0089704,              0.0089704,              0.0089704
                    106,                0.00073,                0.99795,                      1,                0.30025,              0.0089605,              0.0089605,              0.0089605
                    107,                0.00012,                0.99795,                      1,                0.30012,              0.0089506,              0.0089506,              0.0089506
                    108,                  5e-05,                0.99795,                      1,                0.30009,              0.0089407,              0.0089407,              0.0089407
                    109,                0.00026,                0.99795,                      1,                0.30002,              0.0089308,              0.0089308,              0.0089308
                    110,                0.00071,                0.99795,                      1,                    0.3,              0.0089209,              0.0089209,              0.0089209
                    111,                0.00156,                0.99589,                      1,                0.30074,               0.008911,               0.008911,               0.008911
                    112,                0.00342,                0.99589,                      1,                0.30117,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.0008,                0.99795,                      1,                0.30058,              0.0088912,              0.0088912,              0.0088912
                    114,                0.00052,                0.99589,                      1,                0.30139,              0.0088813,              0.0088813,              0.0088813
                    115,                0.00043,                0.99589,                      1,                0.30076,              0.0088714,              0.0088714,              0.0088714
                    116,                0.00011,                0.99795,                      1,                0.30083,              0.0088615,              0.0088615,              0.0088615
                    117,                  5e-05,                0.99589,                      1,                0.30173,              0.0088516,              0.0088516,              0.0088516
                    118,                  4e-05,                0.99589,                      1,                0.30162,              0.0088417,              0.0088417,              0.0088417
                    119,                  3e-05,                0.99589,                      1,                 0.3015,              0.0088318,              0.0088318,              0.0088318
                    120,                  2e-05,                0.99795,                      1,                0.30089,              0.0088219,              0.0088219,              0.0088219
                    121,                  2e-05,                0.99795,                      1,                0.30067,               0.008812,               0.008812,               0.008812
                    122,                  2e-05,                0.99795,                      1,                0.30058,              0.0088021,              0.0088021,              0.0088021
                    123,                  2e-05,                0.99795,                      1,                0.30049,              0.0087922,              0.0087922,              0.0087922
                    124,                  2e-05,                0.99795,                      1,                0.30043,              0.0087823,              0.0087823,              0.0087823
                    125,                  2e-05,                0.99795,                      1,                0.30039,              0.0087724,              0.0087724,              0.0087724
                    126,                  1e-05,                0.99795,                      1,                0.30035,              0.0087625,              0.0087625,              0.0087625
                    127,                  1e-05,                0.99795,                      1,                0.30032,              0.0087526,              0.0087526,              0.0087526
                    128,                  3e-05,                0.99795,                      1,                0.30041,              0.0087427,              0.0087427,              0.0087427
                    129,                0.00088,                0.99795,                      1,                 0.3009,              0.0087328,              0.0087328,              0.0087328
                    130,                0.00013,                0.99795,                      1,                0.30057,              0.0087229,              0.0087229,              0.0087229
                    131,                0.00018,                0.99795,                      1,                0.30049,               0.008713,               0.008713,               0.008713
                    132,                  2e-05,                0.99795,                      1,                0.30053,              0.0087031,              0.0087031,              0.0087031
                    133,                  2e-05,                0.99795,                      1,                0.30057,              0.0086932,              0.0086932,              0.0086932
                    134,                  5e-05,                0.99795,                      1,                0.30061,              0.0086833,              0.0086833,              0.0086833
                    135,                0.00037,                0.99795,                      1,                0.30111,              0.0086734,              0.0086734,              0.0086734
                    136,                0.00018,                0.99589,                      1,                0.30154,              0.0086635,              0.0086635,              0.0086635
                    137,                0.00076,                0.99589,                      1,                0.30132,              0.0086536,              0.0086536,              0.0086536
                    138,                0.00077,                0.99795,                      1,                0.30072,              0.0086437,              0.0086437,              0.0086437
                    139,                0.00018,                0.99795,                      1,                0.30026,              0.0086338,              0.0086338,              0.0086338
                    140,                  4e-05,                0.99795,                      1,                0.30017,              0.0086239,              0.0086239,              0.0086239
                    141,                  1e-05,                0.99795,                      1,                0.30044,               0.008614,               0.008614,               0.008614
                    142,                  1e-05,                0.99589,                      1,                0.30091,              0.0086041,              0.0086041,              0.0086041
                    143,                  1e-05,                0.99589,                      1,                0.30121,              0.0085942,              0.0085942,              0.0085942
                    144,                  1e-05,                0.99589,                      1,                0.30137,              0.0085843,              0.0085843,              0.0085843
                    145,                  1e-05,                0.99589,                      1,                0.30144,              0.0085744,              0.0085744,              0.0085744
                    146,                  1e-05,                0.99589,                      1,                 0.3014,              0.0085645,              0.0085645,              0.0085645
                    147,                  1e-05,                0.99589,                      1,                0.30132,              0.0085546,              0.0085546,              0.0085546
                    148,                  1e-05,                0.99589,                      1,                0.30124,              0.0085447,              0.0085447,              0.0085447
                    149,                  1e-05,                0.99589,                      1,                0.30121,              0.0085348,              0.0085348,              0.0085348
                    150,                  1e-05,                0.99589,                      1,                0.30118,              0.0085249,              0.0085249,              0.0085249
                    151,                  1e-05,                0.99589,                      1,                0.30113,               0.008515,               0.008515,               0.008515
                    152,                  1e-05,                0.99589,                      1,                0.30111,              0.0085051,              0.0085051,              0.0085051
                    153,                  1e-05,                0.99589,                      1,                0.30107,              0.0084952,              0.0084952,              0.0084952
                    154,                  1e-05,                0.99589,                      1,                0.30105,              0.0084853,              0.0084853,              0.0084853
                    155,                  1e-05,                0.99589,                      1,                0.30102,              0.0084754,              0.0084754,              0.0084754
                    156,                  1e-05,                0.99589,                      1,                0.30101,              0.0084655,              0.0084655,              0.0084655
                    157,                  1e-05,                0.99589,                      1,                0.30101,              0.0084556,              0.0084556,              0.0084556
                    158,                  1e-05,                0.99589,                      1,                0.30102,              0.0084457,              0.0084457,              0.0084457
                    159,                  3e-05,                0.99589,                      1,                0.30101,              0.0084358,              0.0084358,              0.0084358
                    160,                0.00053,                0.99589,                      1,                0.30167,              0.0084259,              0.0084259,              0.0084259
                    161,                  3e-05,                0.99589,                      1,                0.30156,               0.008416,               0.008416,               0.008416
                    162,                  2e-05,                0.99589,                      1,                0.30107,              0.0084061,              0.0084061,              0.0084061
                    163,                  1e-05,                0.99795,                      1,                0.30066,              0.0083962,              0.0083962,              0.0083962
                    164,                  2e-05,                0.99795,                      1,                0.30047,              0.0083863,              0.0083863,              0.0083863
                    165,                  1e-05,                0.99795,                      1,                 0.3004,              0.0083764,              0.0083764,              0.0083764
                    166,                  1e-05,                0.99795,                      1,                0.30036,              0.0083665,              0.0083665,              0.0083665
                    167,                  2e-05,                0.99795,                      1,                0.30034,              0.0083566,              0.0083566,              0.0083566
                    168,                  1e-05,                0.99795,                      1,                0.30034,              0.0083467,              0.0083467,              0.0083467
                    169,                  1e-05,                0.99795,                      1,                0.30033,              0.0083368,              0.0083368,              0.0083368
                    170,                  2e-05,                0.99795,                      1,                0.30033,              0.0083269,              0.0083269,              0.0083269
                    171,                0.00033,                0.99795,                      1,                0.30029,               0.008317,               0.008317,               0.008317
                    172,                0.00201,                0.99795,                      1,                0.30023,              0.0083071,              0.0083071,              0.0083071
                    173,                0.00056,                0.99795,                      1,                0.30011,              0.0082972,              0.0082972,              0.0082972
                    174,                  4e-05,                0.99795,                      1,                0.30007,              0.0082873,              0.0082873,              0.0082873
                    175,                  6e-05,                0.99795,                      1,                0.30005,              0.0082774,              0.0082774,              0.0082774
                    176,                  5e-05,                0.99795,                      1,                0.30004,              0.0082675,              0.0082675,              0.0082675
                    177,                  2e-05,                0.99795,                      1,                0.30005,              0.0082576,              0.0082576,              0.0082576
                    178,                  1e-05,                0.99795,                      1,                0.30005,              0.0082477,              0.0082477,              0.0082477
                    179,                  1e-05,                0.99795,                      1,                0.30006,              0.0082378,              0.0082378,              0.0082378
                    180,                  2e-05,                0.99795,                      1,                0.30006,              0.0082279,              0.0082279,              0.0082279
                    181,                  1e-05,                0.99795,                      1,                0.30007,               0.008218,               0.008218,               0.008218
                    182,                  1e-05,                0.99795,                      1,                0.30007,              0.0082081,              0.0082081,              0.0082081
                    183,                  1e-05,                0.99795,                      1,                0.30008,              0.0081982,              0.0081982,              0.0081982
                    184,                  1e-05,                0.99795,                      1,                0.30008,              0.0081883,              0.0081883,              0.0081883
                    185,                  1e-05,                0.99795,                      1,                0.30008,              0.0081784,              0.0081784,              0.0081784
                    186,                  1e-05,                0.99795,                      1,                0.30008,              0.0081685,              0.0081685,              0.0081685
                    187,                  1e-05,                0.99795,                      1,                0.30008,              0.0081586,              0.0081586,              0.0081586
                    188,                  1e-05,                0.99795,                      1,                0.30008,              0.0081487,              0.0081487,              0.0081487
                    189,                  1e-05,                0.99795,                      1,                0.30008,              0.0081388,              0.0081388,              0.0081388
                    190,                  1e-05,                0.99795,                      1,                0.30007,              0.0081289,              0.0081289,              0.0081289
                    191,                  1e-05,                0.99795,                      1,                0.30007,               0.008119,               0.008119,               0.008119
                    192,                  1e-05,                0.99795,                      1,                0.30007,              0.0081091,              0.0081091,              0.0081091
                    193,                  1e-05,                0.99795,                      1,                0.30006,              0.0080992,              0.0080992,              0.0080992
                    194,                  1e-05,                0.99795,                      1,                0.30006,              0.0080893,              0.0080893,              0.0080893
                    195,                  1e-05,                0.99795,                      1,                0.30006,              0.0080794,              0.0080794,              0.0080794
                    196,                  1e-05,                0.99795,                      1,                0.30006,              0.0080695,              0.0080695,              0.0080695
                    197,                  1e-05,                0.99795,                      1,                0.30006,              0.0080596,              0.0080596,              0.0080596
                    198,                  1e-05,                0.99795,                      1,                0.30006,              0.0080497,              0.0080497,              0.0080497
                    199,                  1e-05,                0.99795,                      1,                0.30006,              0.0080398,              0.0080398,              0.0080398
                    200,                  1e-05,                0.99795,                      1,                0.30006,              0.0080299,              0.0080299,              0.0080299
                    201,                  1e-05,                0.99795,                      1,                0.30005,                0.00802,                0.00802,                0.00802
                    202,                  1e-05,                0.99795,                      1,                0.30005,              0.0080101,              0.0080101,              0.0080101
                    203,                  1e-05,                0.99795,                      1,                0.30005,              0.0080002,              0.0080002,              0.0080002
                    204,                  1e-05,                0.99795,                      1,                0.30005,              0.0079903,              0.0079903,              0.0079903
                    205,                  1e-05,                0.99795,                      1,                0.30004,              0.0079804,              0.0079804,              0.0079804
                    206,                  1e-05,                0.99795,                      1,                0.30004,              0.0079705,              0.0079705,              0.0079705
                    207,                  1e-05,                0.99795,                      1,                0.30004,              0.0079606,              0.0079606,              0.0079606
                    208,                  1e-05,                0.99795,                      1,                0.30003,              0.0079507,              0.0079507,              0.0079507
                    209,                  1e-05,                0.99795,                      1,                0.30003,              0.0079408,              0.0079408,              0.0079408
                    210,                  1e-05,                0.99795,                      1,                0.30003,              0.0079309,              0.0079309,              0.0079309
                    211,                  1e-05,                0.99795,                      1,                0.30003,               0.007921,               0.007921,               0.007921
                    212,                  1e-05,                0.99795,                      1,                0.30002,              0.0079111,              0.0079111,              0.0079111
                    213,                  1e-05,                0.99795,                      1,                0.30002,              0.0079012,              0.0079012,              0.0079012
                    214,                  1e-05,                0.99795,                      1,                0.30002,              0.0078913,              0.0078913,              0.0078913
                    215,                  1e-05,                0.99795,                      1,                0.30002,              0.0078814,              0.0078814,              0.0078814
                    216,                  1e-05,                0.99795,                      1,                0.30002,              0.0078715,              0.0078715,              0.0078715
                    217,                  1e-05,                0.99795,                      1,                0.30002,              0.0078616,              0.0078616,              0.0078616
                    218,                  1e-05,                0.99795,                      1,                0.30001,              0.0078517,              0.0078517,              0.0078517
                    219,                  1e-05,                0.99795,                      1,                0.30001,              0.0078418,              0.0078418,              0.0078418
                    220,                  1e-05,                0.99795,                      1,                0.30001,              0.0078319,              0.0078319,              0.0078319
                    221,                  1e-05,                0.99795,                      1,                0.30001,               0.007822,               0.007822,               0.007822
                    222,                  1e-05,                0.99795,                      1,                0.30001,              0.0078121,              0.0078121,              0.0078121
                    223,                  1e-05,                0.99795,                      1,                0.30001,              0.0078022,              0.0078022,              0.0078022
                    224,                  1e-05,                0.99795,                      1,                0.30001,              0.0077923,              0.0077923,              0.0077923
                    225,                  1e-05,                0.99795,                      1,                    0.3,              0.0077824,              0.0077824,              0.0077824
                    226,                  1e-05,                0.99795,                      1,                    0.3,              0.0077725,              0.0077725,              0.0077725
                    227,                  1e-05,                0.99795,                      1,                    0.3,              0.0077626,              0.0077626,              0.0077626
                    228,                  1e-05,                0.99795,                      1,                    0.3,              0.0077527,              0.0077527,              0.0077527
                    229,                  1e-05,                0.99795,                      1,                    0.3,              0.0077428,              0.0077428,              0.0077428
                    230,                  1e-05,                0.99795,                      1,                    0.3,              0.0077329,              0.0077329,              0.0077329
                    231,                  1e-05,                0.99795,                      1,                    0.3,               0.007723,               0.007723,               0.007723
                    232,                  1e-05,                0.99795,                      1,                    0.3,              0.0077131,              0.0077131,              0.0077131
                    233,                  1e-05,                0.99795,                      1,                    0.3,              0.0077032,              0.0077032,              0.0077032
                    234,                  1e-05,                0.99795,                      1,                    0.3,              0.0076933,              0.0076933,              0.0076933
                    235,                  1e-05,                0.99795,                      1,                    0.3,              0.0076834,              0.0076834,              0.0076834
                    236,                  1e-05,                0.99795,                      1,                    0.3,              0.0076735,              0.0076735,              0.0076735
                    237,                  1e-05,                0.99795,                      1,                    0.3,              0.0076636,              0.0076636,              0.0076636
                    238,                  1e-05,                0.99795,                      1,                0.29999,              0.0076537,              0.0076537,              0.0076537
                    239,                  1e-05,                0.99795,                      1,                0.29999,              0.0076438,              0.0076438,              0.0076438
                    240,                  1e-05,                0.99795,                      1,                0.29999,              0.0076339,              0.0076339,              0.0076339
                    241,                  1e-05,                0.99795,                      1,                0.29999,               0.007624,               0.007624,               0.007624
                    242,                  1e-05,                0.99795,                      1,                0.29999,              0.0076141,              0.0076141,              0.0076141
                    243,                  1e-05,                0.99795,                      1,                0.29999,              0.0076042,              0.0076042,              0.0076042
                    244,                  1e-05,                0.99795,                      1,                0.29999,              0.0075943,              0.0075943,              0.0075943
                    245,                  1e-05,                0.99795,                      1,                0.29999,              0.0075844,              0.0075844,              0.0075844
                    246,                  1e-05,                0.99795,                      1,                0.29999,              0.0075745,              0.0075745,              0.0075745
                    247,                  1e-05,                0.99795,                      1,                0.29999,              0.0075646,              0.0075646,              0.0075646
                    248,                  1e-05,                0.99795,                      1,                0.29999,              0.0075547,              0.0075547,              0.0075547
                    249,                  1e-05,                0.99795,                      1,                0.29999,              0.0075448,              0.0075448,              0.0075448
                    250,                  1e-05,                0.99795,                      1,                0.29999,              0.0075349,              0.0075349,              0.0075349
                    251,                  1e-05,                0.99795,                      1,                0.29999,               0.007525,               0.007525,               0.007525
                    252,                  1e-05,                0.99795,                      1,                0.29999,              0.0075151,              0.0075151,              0.0075151
                    253,                  1e-05,                0.99795,                      1,                0.29999,              0.0075052,              0.0075052,              0.0075052
                    254,                  1e-05,                0.99795,                      1,                0.29999,              0.0074953,              0.0074953,              0.0074953
                    255,                  1e-05,                0.99795,                      1,                0.29999,              0.0074854,              0.0074854,              0.0074854
                    256,                  1e-05,                0.99795,                      1,                0.29999,              0.0074755,              0.0074755,              0.0074755
                    257,                  1e-05,                0.99795,                      1,                0.29999,              0.0074656,              0.0074656,              0.0074656
                    258,                  1e-05,                0.99795,                      1,                0.29999,              0.0074557,              0.0074557,              0.0074557
                    259,                  1e-05,                0.99795,                      1,                0.29999,              0.0074458,              0.0074458,              0.0074458
                    260,                  1e-05,                0.99795,                      1,                0.29999,              0.0074359,              0.0074359,              0.0074359
                    261,                  1e-05,                0.99795,                      1,                0.29999,               0.007426,               0.007426,               0.007426
                    262,                      0,                0.99795,                      1,                0.29999,              0.0074161,              0.0074161,              0.0074161
                    263,                  1e-05,                0.99795,                      1,                0.29999,              0.0074062,              0.0074062,              0.0074062
                    264,                  1e-05,                0.99795,                      1,                0.29999,              0.0073963,              0.0073963,              0.0073963
                    265,                  1e-05,                0.99795,                      1,                0.29999,              0.0073864,              0.0073864,              0.0073864
                    266,                  1e-05,                0.99795,                      1,                0.29999,              0.0073765,              0.0073765,              0.0073765
                    267,                  1e-05,                0.99795,                      1,                0.29999,              0.0073666,              0.0073666,              0.0073666
                    268,                  1e-05,                0.99795,                      1,                0.29999,              0.0073567,              0.0073567,              0.0073567
                    269,                  1e-05,                0.99795,                      1,                0.29999,              0.0073468,              0.0073468,              0.0073468
                    270,                  1e-05,                0.99795,                      1,                0.29999,              0.0073369,              0.0073369,              0.0073369
                    271,                  1e-05,                0.99795,                      1,                0.29998,               0.007327,               0.007327,               0.007327
                    272,                  1e-05,                0.99795,                      1,                0.29998,              0.0073171,              0.0073171,              0.0073171
                    273,                  1e-05,                0.99795,                      1,                0.29998,              0.0073072,              0.0073072,              0.0073072
                    274,                  1e-05,                0.99795,                      1,                0.29998,              0.0072973,              0.0072973,              0.0072973
                    275,                  1e-05,                0.99795,                      1,                0.29998,              0.0072874,              0.0072874,              0.0072874
                    276,                  1e-05,                0.99795,                      1,                0.29998,              0.0072775,              0.0072775,              0.0072775
                    277,                  1e-05,                0.99795,                      1,                0.29998,              0.0072676,              0.0072676,              0.0072676
                    278,                  1e-05,                0.99795,                      1,                0.29998,              0.0072577,              0.0072577,              0.0072577
                    279,                  1e-05,                0.99795,                      1,                0.29998,              0.0072478,              0.0072478,              0.0072478
                    280,                  1e-05,                0.99795,                      1,                0.29998,              0.0072379,              0.0072379,              0.0072379
                    281,                  1e-05,                0.99795,                      1,                0.29998,               0.007228,               0.007228,               0.007228
                    282,                  1e-05,                0.99795,                      1,                0.29998,              0.0072181,              0.0072181,              0.0072181
                    283,                  1e-05,                0.99795,                      1,                0.29998,              0.0072082,              0.0072082,              0.0072082
                    284,                  1e-05,                0.99795,                      1,                0.29998,              0.0071983,              0.0071983,              0.0071983
                    285,                  1e-05,                0.99795,                      1,                0.29998,              0.0071884,              0.0071884,              0.0071884
